region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,cost_milk,profitability,vrs_raw,crs_raw,vrs_bc,crs_bc,vrs_bootstrap_degenerate_draws,crs_bootstrap_degenerate_draws,scale_eff_raw
Khizi district,district,2021,80.0,,4561.0,4541.0,240.0,48.0,7057.0,,,68.68,,80.0,,0.5063429104550217,0.40574711678830994,0.3972068580656183,0.34858336361248804,0,0,0.8013287209327924
Khojavand district,district,2021,,,1086.0,1086.0,421.6,,2716.0,,,,,,,1.0,0.6529602854164632,0.656983083343138,0.6213926678459103,0,0,0.6529602854164632
Kurdamir district,district,2021,48.76,38.36,32790.0,29305.0,9269.0,48.4,46468.0,15.1,30.1,56.09,51.46,48.76,15.1,0.415051864608395,0.41399879960125807,0.36054727603675535,0.39209744316269585,0,0,0.9974628110437945
Lachin district,district,2021,,,18852.0,17919.0,752.2,,15117.0,,,,,,,0.24042701377049777,0.2202615395778255,0.20108379007923627,0.18094730152975363,0,0,0.9161264207526969
Lankaran district,district,2021,53.73,56.3,24765.0,24407.0,441.0,49.3,35210.0,10.0,7.7,64.61,60.99,53.73,10.0,0.42717979338748835,0.4179610092151584,0.26272988638796235,0.25886918073041676,0,0,0.9784194282711126
Lerik district,district,2021,40.41,,17168.0,17118.0,527.2,58.4,23961.0,17.0,,24.71,,40.41,17.0,0.38148494372769953,0.3654590694128084,0.2888574354563058,0.2683481851241359,0,0,0.9579908078198488
Masalli district,district,2021,,,36714.0,35206.0,3338.7,,49563.0,,75.1,,35.0,,75.1,0.3677408513503698,0.3675595644212602,0.2449939569628946,0.33233857615263923,0,0,0.9995070253183895
Neftchala district,district,2021,19.55,16.4,22452.0,21582.0,11311.5,46.7,31696.0,138.8,100.0,73.4,75.11,19.55,138.8,0.3902850637073588,0.3834419255437662,0.37253438929233834,0.3665586302418255,0,0,0.9824663078351271
Oghuz district,district,2021,40.0,40.0,10349.0,10111.0,1138.0,48.0,14236.0,100.2,54.8,80.07,61.99,40.0,100.2,0.39586826208935605,0.3676043956553174,0.3596968019707943,0.33498145229026044,0,0,0.9286028481170362
Ordubad district,district,2021,,,5489.0,5380.0,900.0,,6323.0,,,,,,,0.37696849822871675,0.3068511343197882,0.3158973643355495,0.28448514045901985,0,0,0.8139967550646992
Saatli district,district,2021,30.44,32.65,32464.0,31941.0,15547.6,48.0,41884.0,38.4,15.9,56.35,50.0,30.44,38.4,0.34446390511100544,0.34236272074423596,0.31694185720173157,0.326989150444583,0,0,0.9939001319569539
Sabirabad district,district,2021,6.03,,61874.0,60095.0,23062.0,6.8,121761.0,94.9,,61.66,,6.03,94.9,0.9675838225627439,0.529001244356947,0.30882342219961356,0.503296852659038,0,0,0.5467239447594664
Sadarak district,district,2021,,,2752.0,2224.0,1437.0,,1907.0,,,,,,,0.4322241644886338,0.22387352476565497,0.28427901118888044,0.21442895438747475,0,0,0.5179569842665337
Salyan district,district,2021,62.28,32.84,33331.0,32344.0,20925.0,48.0,50606.0,15.9,50.8,72.18,52.53,62.28,15.9,0.40900742113591176,0.4085028677963628,0.35417460562261377,0.39127191545710044,0,0,0.9987663956361778
Samukh district,district,2021,47.84,64.9,11470.0,10672.0,8542.5,47.0,32547.0,24.2,23.3,58.69,80.0,47.84,24.2,0.8094628669056164,0.7962546366036755,0.7738964802131564,0.7632122277617085,0,0,0.9836827224052502
Shabran district,district,2021,59.76,53.0,11957.0,10765.0,720.9,48.0,15252.0,29.1,,66.46,,59.76,29.1,0.39943231486797853,0.3699129958972438,0.3569505142157775,0.32678283665172675,0,0,0.9260968182294126
Shahbuz district,district,2021,,,12107.0,12107.0,495.0,,15767.0,,,,,,,0.3693182691304494,0.340015998567731,0.30744671654411515,0.2776110975212806,0,0,0.9206584861569133
Shaki district,district,2021,22.83,36.66,32721.0,29275.0,4120.0,48.0,61638.0,20.1,59.9,84.09,61.18,22.83,20.1,0.6254190532288699,0.5497161062789497,0.34572125542347,0.5057637518685323,0,0,0.8789564427897003
Shamakhi district,district,2021,39.0,35.17,14285.0,13955.0,564.0,38.0,37477.0,,55.6,,70.0,39.0,55.6,0.7084744540610022,0.7011675436239757,0.5381704523230536,0.5705576764064296,0,0,0.9896864165035973
Shamkir district,district,2021,18.65,,27855.0,27356.0,10603.0,44.2,53435.0,86.8,,63.88,,18.65,86.8,0.5177356948246554,0.5099881036783426,0.4282387498584961,0.4853153029898485,0,0,0.9850356248878364
Sharur district,district,2021,,,21652.0,20866.0,6409.6,,29694.0,,,,,,,0.3793859653798354,0.3715491978738149,0.35832762172006843,0.3516168877764185,0,0,0.9793435492581429
Shusha district,district,2021,,,2413.0,2376.0,231.9,,2033.0,,,,,,,0.4378687117335205,0.2233972225063151,0.25896754110864184,0.20230967154419358,0,0,0.5101922483154514
Siyazan district,district,2021,,47.13,6943.0,6701.0,422.0,,14002.0,,114.3,,88.42,47.13,114.3,0.5967733770165876,0.5455534195439051,0.5293485830193415,0.47895740807346276,0,0,0.9141718457201572
Tartar district,district,2021,22.74,24.33,12715.0,12680.0,9026.2,39.9,22419.0,32.7,100.0,43.12,30.0,22.74,32.7,0.4790527695100819,0.46161914294786394,0.4590536973358328,0.4423590370285082,0,0,0.9636081290584187
Tovuz district,district,2021,60.0,,17962.0,17379.0,3325.0,27.0,38668.0,,,,,60.0,,0.5862418662588764,0.5809165555406703,0.5215427946141714,0.5416120348164312,0,0,0.9909161883094605
Ujar district,district,2021,,,33305.0,31107.0,9310.0,,69563.0,,,,,,,0.6420809066931158,0.583857685039921,0.39134828813714295,0.5520742576968013,0,0,0.9093210512160226
Yevlakh district,district,2021,25.84,26.03,30461.0,26493.0,16580.0,59.0,37352.0,145.8,161.7,59.3,62.72,25.84,145.8,0.3719893409810067,0.3681031622551456,0.35131954335266075,0.3524662580991586,0,0,0.9895529836537452
Zagatala district,district,2021,50.0,49.1,28935.0,26972.0,8275.0,48.0,43857.0,11.3,30.2,50.07,76.82,50.0,11.3,0.42644387100099873,0.42453411638054567,0.37875522988979027,0.40174478742213804,0,0,0.9955216741280153
Zangilan district,district,2021,,,853.0,853.0,66.5,,481.0,,,,,,,0.9835873388042204,0.14722544379097607,0.43285645274569595,0.13146822580276718,0,0,0.1496821258089423
Zardab district,district,2021,32.09,43.01,22919.0,21760.0,17440.0,34.5,31963.0,55.8,10.1,50.0,50.63,32.09,55.8,0.39019903871257045,0.38350892093362055,0.3735194588468709,0.3675948278343116,0,0,0.9828546020999349
Absheron district,district,2022,76.13,43.36,14030.0,14030.0,159.8,17.1,51186.0,29.5,8.6,89.58,49.02,76.13,29.5,1.0,1.0000000000000002,0.16860706088893496,0.6314312523926651,0,0,1.0000000000000002
Agdash district,district,2022,55.0,,32866.0,26116.0,10572.0,48.0,63608.0,,,65.0,,55.0,,0.6923586446591576,0.6675926694110537,0.5526445836131483,0.637197529473071,0,0,0.9642295572689844
Aghdam district,district,2022,7.59,,20707.0,20612.0,10476.3,4.1,41823.0,48.2,,66.7,,7.59,48.2,0.5583618136119713,0.5561622748536673,0.5233648145915294,0.5328832210852017,0,0,0.996060728537155
Aghjabadi district,district,2022,31.12,,45366.0,42610.0,24966.0,4.9,138810.0,38.9,,21.53,,31.12,38.9,1.0000000000000002,0.8929264726397437,0.0,0.8565883986523731,6,0,0.8929264726397435
Aghstafa district,district,2022,14.46,,12018.0,9763.0,4730.5,54.4,17621.0,75.0,,80.0,,14.46,75.0,0.511360633463304,0.4947134758369138,0.4853811440859077,0.47374979288763563,0,0,0.9674453672476827
